genres,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
"['dark wave', 'deathrock', 'gothic rock', 'horror punk']",45 Grave,0.016083825,0.4175,162716.75,0.79125,0.41150196,0.139525,-8.59175,0.066975,155.6615,0.64775,30.5,9,1,8
[],4509 STARPASS Prodcutions,0.784,0.628,256981,0.091,0.000944,0.102,-18.878,0.0398,130.486,0.152,0,0,1,2
"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']",4Him,0.282333333,0.476333333,290636.3333,0.487333333,0.001573783,0.111333333,-10.05633333,0.030133333,111.2396667,0.311666667,33.66666667,4,1,6
"['k-pop', 'k-pop girl group']",4Minute,0.00589,0.54,192400,0.929,4.01E-06,0.424,-2.646,0.278,176.023,0.624,61,7,1,2
"['boy band', 'dance pop', 'pop', 'post-teen pop']",5 Seconds of Summer,0.043567354,0.547307692,195593.0769,0.804584615,1.55E-05,0.181710769,-4.599892308,0.104403077,141.8839231,0.520938462,61.01538462,0,1,65
"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",50 Cent,0.122386348,0.695039326,234964.0899,0.76238764,0.000548475,0.198361236,-4.149426966,0.259516292,105.929427,0.589769663,52.34269663,1,1,178
"['ballroom', 'easy listening']",50 Guitars of Tommy Garrett,0.791833333,0.496166667,168044.3333,0.286166667,0.22638,0.112466667,-12.67116667,0.0331,117.9436667,0.4965,25.66666667,7,1,12
"['dirty south rap', 'pop rap', 'southern hip hop']",504 Boyz,0.01643,0.809,212434,0.624,0,0.2355,-8.81,0.2565,125.0315,0.532,47.5,11,1,4
['white noise'],520Hz,0.996,0,197680,0.0197,0.996,0.104,-47.19,0,0,0,57,1,1,2
"['canadian indie', 'canadian rock']",54-40,0.2275,0.6625,211060,0.5975,0.0401047,0.10765,-11.6815,0.02975,126.4555,0.7225,42,9,1,4
"['dirty south rap', 'dirty texas rap', 'gangster rap', 'houston rap']",5th Ward Boyz,0.158,0.842,352173,0.336,0,0.256,-8.227,0.379,78.001,0.599,36,4,0,1
"['dark trap', 'emo rap', 'melodic rap', 'sad rap', 'underground hip hop', 'vapor trap']",6 Dogs,0.224,0.748,171907,0.66,0.053,0.101,-4.704,0.0487,137.033,0.328,66,6,1,2
['miami bass'],69 Boyz,0.03269,0.851,256279.75,0.742,0,0.18345,-11.60925,0.22375,133.01425,0.6795,41.75,9,0,8
"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",6LACK,0.266721304,0.637130435,220217.8913,0.520434783,0.001885923,0.122969565,-7.958130435,0.16056087,121.3756304,0.308895652,63.86956522,0,1,46
"['opm', 'pinoy rock']",6cyclemind,0.443,0.7175,295993,0.4735,0.00158574,0.131,-8.5365,0.03095,97.2875,0.47,57.5,3,1,4
['emo rap'],6ix9ine,0.112184615,0.733730769,156294.8462,0.697923077,4.61E-06,0.144330769,-5.134038462,0.240761538,123.0933846,0.455384615,69.30769231,1,1,26
[],7 Aurelius,0.128,0.768,214560,0.725,0,0.122,-6.543,0.292,98.963,0.794,51,11,1,2
[],7 FN,0.14,0.897,161684,0.413,0,0.0708,-13.63,0.122,95.02,0.369,63,1,1,2
"['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge', 'thrash core']",7 Seconds,1.18E-05,0.451,189200,0.908,0.00888,0.155,-11.616,0.0627,103.893,0.398,31,1,0,2
"['grunge', 'riot grrrl']",7 Year Bitch,9.03E-06,0.349,167333,0.709,0.0095,0.147,-12.339,0.0336,114.581,0.708,41,9,0,2
"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",702,0.197222222,0.74,255970.2222,0.611222222,0.004330793,0.164422222,-8.151888889,0.065811111,99.07033333,0.59,52.11111111,10,1,9
[],707,0.0645,0.671,285533,0.707,0.0163,0.057,-11.549,0.0336,125.829,0.599,25,9,0,2
"['8-bit', 'scorecore']",8-Bit Arcade,0.762,0.712,115177,0.818,0.876,0.126,-9.18,0.047,133.444,0.975,48,7,1,2
"['acid house', 'big beat', 'chicago house', 'electronica', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']",808 State,0.00857,0.5535,285153.5,0.8715,0.5855,0.1215,-8.0475,0.05975,128.4775,0.5025,42,8,1,4
['alternative hip hop'],88-Keys,0.13795,0.649,195875.5,0.6435,5.35E-07,0.421,-5.637,0.28,122.3495,0.5,54,1,1,2
"['canadian hip hop', 'melodic rap', 'rap', 'southern hip hop', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",88GLAM,0.0166,0.764,180813,0.672,1.06E-06,0.103,-4.274,0.0655,150.021,0.594,68,6,0,2
"['asian american hip hop', 'pop']",88rising,0.527466667,0.585,209444.6667,0.463166667,4.60E-05,0.21815,-9.008666667,0.091983333,109.5878333,0.385333333,69.83333333,1,1,6
"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']",8Ball,0.073376923,0.780538462,282367.3077,0.664384615,0.0006,0.242384615,-6.487769231,0.1845,122.0759231,0.539076923,42.53846154,1,1,13
"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']",8Ball & MJG,0.030979733,0.793266667,311073.3333,0.6228,0.001987389,0.191206667,-9.0515,0.263913333,129.2988333,0.6019,37.23333333,11,1,30
[],8father,0.103,0.834,60056,0.375,0,0.145,-6.258,0.391,95.993,0.389,60,0,1,1
[],904TEZZO,0.463,0.697,96016,0.48,0.0085,0.378,-9.856,0.0493,119.951,0.176,57,10,0,2
